,magnitude,cdi,mmi,sig,nst,dmin,gap,magType,depth,alert
104,6.5,8,8,1410,0,0.885,31.0,mww,12.06,green
105,7.5,6,5,879,0,4.11,12.0,mww,57.8,green
106,7.0,5,6,770,0,4.5,25.0,mww,143.0,yellow
107,7.7,9,6,1812,0,1.657,26.0,mww,14.86,yellow
108,6.7,8,9,1247,0,0.87,49.0,mww,10.0,orange
109,6.8,9,7,825,0,0.546,39.0,mww,18.0,yellow
110,7.1,6,6,799,0,1.271,11.0,mww,33.0,green
111,6.5,0,2,650,0,4.766,25.0,mww,577.0,green
112,6.6,4,4,673,0,5.086,48.0,mww,10.0,green
113,6.5,9,7,733,0,0.428,19.0,mww,10.0,green
114,6.6,9,7,780,0,0.646,24.0,mww,15.0,yellow
115,6.7,7,6,844,0,1.269,98.0,mww,11.0,green
116,6.5,7,7,656,0,3.908,15.0,mww,12.26,yellow
118,6.6,0,4,670,0,12.9,19.0,mww,16.0,green
119,6.9,4,6,875,0,2.84,23.0,mww,49.0,green
120,6.8,6,6,947,0,0.817,35.0,mww,25.0,green
121,6.6,0,4,670,0,6.023,30.0,mww,181.0,green
122,7.2,7,7,809,0,1.504,38.0,mww,18.98,green
123,6.6,5,5,791,0,2.979,32.0,mww,10.0,green
124,6.9,7,5,747,0,1.205,21.0,mww,35.0,green
125,7.1,9,9,1646,77,0.04617,43.0,mw,8.0,yellow
126,7.3,4,6,952,0,2.629,16.0,mww,212.0,green
127,7.3,8,6,830,0,1.402,11.0,mww,46.0,green
128,6.6,7,6,886,0,1.193,22.0,mww,57.9,yellow
129,8.0,9,8,1890,0,3.18,17.0,mww,122.56,orange
130,7.6,7,7,929,0,0.453,16.0,mww,10.0,green
131,7.1,7,6,826,0,2.514,16.0,mww,146.0,yellow
132,6.8,5,6,717,0,0.791,28.0,mww,15.46,green
133,6.5,0,5,650,0,7.566,18.0,mww,38.0,green
134,7.0,7,4,869,0,2.502,42.0,mww,267.0,green
135,7.5,7,7,1145,0,2.045,15.0,mww,145.0,yellow
136,6.7,6,6,909,0,0.289,43.0,mww,66.0,yellow
